B♭,B♭,
B♭ Clarinet,B♭ Clarinet,
C,C,
CRM,CRM,
Calibrated By,Calibrated By,
Calibration Date,Calibration Date,
Canceled,Cancelado,
Canceling a blocked operation is prohibited.,Canceling a blocked operation is prohibited.,
Cancelled,Cancelado,
"Cannot submit. The following items are incomplete:
{0}","Cannot submit. The following items are incomplete:
{0}",
Canny high threshold for Hough pre‑processing. Raise to reduce noise; lower to detect faint edges.,Canny high threshold for Hough pre‑processing. Raise to reduce noise; lower to detect faint edges.,
Capture,Capturar,
Category,Categoría,
Category Name,Nombre Categoría,
Cents Timeline,Cents Timeline,
Certificate created but no file URL returned.,Certificate created but no file URL returned.,
Certificate generated.,Certificate generated.,
Check,Marcar,
Check if all items pass QA and no critical issues remain.,Check if all items pass QA and no critical issues remain.,
Check if this tool requires periodic calibration.,Check if this tool requires periodic calibration.,
Checklist,Checklist,
Checklist Item,Checklist Item,
Checklist Items,Checklist Items,
"Checklist rows to pre-populate into Clarinet Initial Setup → Checklist (e.g., safety check, leak test).","Checklist rows to pre-populate into Clarinet Initial Setup → Checklist (e.g., safety check, leak test).",
Child table storing predecessor tasks (dependencies) for a Clarinet Setup Task. Each row links to another task that must be Completed before the current task can proceed.,Child table storing predecessor tasks (dependencies) for a Clarinet Setup Task. Each row links to another task that must be Completed before the current task can proceed.,
Child table storing template-level task dependencies. Each row references another template task by sequence number that must be completed before the current template task can proceed.,Child table storing template-level task dependencies. Each row references another template task by sequence number that must be completed before the current template task can proceed.,
Child table that defines task templates within a Setup Template. Each row generates a real Clarinet Setup Task with expected schedule and priority when applied to a Clarinet Initial Setup.,Child table that defines task templates within a Setup Template. Each row generates a real Clarinet Setup Task with expected schedule and priority when applied to a Clarinet Initial Setup.,
"Child table used to record materials consumed during clarinet setup/repair. Each row captures item, quantity, unit, rate, and extended amount for costing and documentation.","Child table used to record materials consumed during clarinet setup/repair. Each row captures item, quantity, unit, rate, and extended amount for costing and documentation.",
"Choose classic needle, moving strobe bars, or both.","Choose classic needle, moving strobe bars, or both.",
"Choose how stock should be adjusted: Increase (Material Receipt), Decrease (Material Issue), or No Change (for review only).","Choose how stock should be adjusted: Increase (Material Receipt), Decrease (Material Issue), or No Change (for review only).",
"Choose your input device. For best results, disable OS-level noise suppression/AGC for this app.","Choose your input device. For best results, disable OS-level noise suppression/AGC for this app.",
Clarinet Initial Setup,Clarinet Initial Setup,
Clarinet Intake,Clarinet Intake,
