type,doctype,fieldname,label,path,details
missing_label,Clarinet Initial Setup,column_break_instrument,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/instrument_setup/doctype/clarinet_initial_setup/clarinet_initial_setup.json,{}
link_to_unknown_doctype,Clarinet Initial Setup,technician,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/instrument_setup/doctype/clarinet_initial_setup/clarinet_initial_setup.json,"{""options"": ""User""}"
missing_label,Clarinet Initial Setup,column_break_details,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/instrument_setup/doctype/clarinet_initial_setup/clarinet_initial_setup.json,{}
missing_label,Clarinet Pad Entry,section_break_vhmi,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/instrument_setup/doctype/clarinet_pad_entry/clarinet_pad_entry.json,{}
link_to_unknown_doctype,Clarinet Setup Log,customer,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/instrument_setup/doctype/clarinet_setup_log/clarinet_setup_log.json,"{""options"": ""Customer""}"
link_to_unknown_doctype,Clarinet Setup Log,action_by,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/instrument_setup/doctype/clarinet_setup_log/clarinet_setup_log.json,"{""options"": ""User""}"
link_to_unknown_doctype,Clarinet Setup Task,assigned_to,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/instrument_setup/doctype/clarinet_setup_task/clarinet_setup_task.json,"{""options"": ""User""}"
link_to_unknown_doctype,Setup Material Log,item_code,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/instrument_setup/doctype/setup_material_log/setup_material_log.json,"{""options"": ""Item""}"
link_to_unknown_doctype,Setup Material Log,uom,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/instrument_setup/doctype/setup_material_log/setup_material_log.json,"{""options"": ""UOM""}"
missing_label,Setup Template,column_break_basic,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/instrument_setup/doctype/setup_template/setup_template.json,{}
missing_label,Setup Template,column_break_estimates,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/instrument_setup/doctype/setup_template/setup_template.json,{}
link_to_unknown_doctype,Setup Template,default_technician,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/instrument_setup/doctype/setup_template/setup_template.json,"{""options"": ""User""}"
link_to_unknown_doctype,Clarinet Intake,employee,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/intake/doctype/clarinet_intake/clarinet_intake.json,"{""options"": ""User""}"
link_to_unknown_doctype,Clarinet Intake,manufacturer,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/intake/doctype/clarinet_intake/clarinet_intake.json,"{""options"": ""Brand""}"
link_to_unknown_doctype,Clarinet Intake,customer,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/intake/doctype/clarinet_intake/clarinet_intake.json,"{""options"": ""Customer""}"
link_to_unknown_doctype,Clarinet Intake,work_order_number,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/intake/doctype/clarinet_intake/clarinet_intake.json,"{""options"": ""Work Order""}"
link_to_unknown_doctype,Clarinet Intake Settings,default_inspection_warehouse,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/intake/doctype/clarinet_intake_settings/clarinet_intake_settings.json,"{""options"": ""Warehouse""}"
link_to_unknown_doctype,Clarinet Intake Settings,buying_price_list,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/intake/doctype/clarinet_intake_settings/clarinet_intake_settings.json,"{""options"": ""Price List""}"
link_to_unknown_doctype,Clarinet Intake Settings,selling_price_list,,/home/frappe/frappe-bench/apps/repair_portal/repair_portal/intake/doctype/clarinet_intake_settings/clarinet_intake_settings.json,"{""options"": ""Price List""}"
